Date,AMD,AMZN,ANET,ASML,AVGO,DELL,GOOGL,HPE,INTC,META,MRVL,MSFT,NVDA,QQQ,SMCI,SOXX,TSM
2022-03-21,115.91999816894531,161.4915008544922,32.98749923706055,654.0823974609375,55.958011627197266,47.60662841796875,134.90525817871094,15.152170181274414,44.28744888305664,209.6489715576172,69.54119110107422,288.7746276855469,26.65435218811035,341.3557434082031,4.298999786376953,152.27337646484375,99.85221862792969
2022-03-22,114.77999877929688,164.88900756835938,34.005001068115234,659.666259765625,56.89329528808594,48.21626663208008,138.63865661621094,15.223264694213867,45.221981048583984,214.76405334472656,70.20011901855469,293.5045166015625,26.444974899291992,348.064208984375,4.295000076293945,153.1163330078125,99.96429443359375
2022-03-23,113.91999816894531,163.4080047607422,33.287498474121094,637.273193359375,55.7802619934082,47.86140441894531,137.06016540527344,15.081077575683594,45.109840393066406,211.601806640625,67.80044555664062,289.0931091308594,25.55762481689453,343.0621337890625,4.234000205993652,149.2587127685547,98.38601684570312
2022-03-24,120.52999877929688,163.64950561523438,34.91749954223633,661.3902587890625,58.29762268066406,48.68942642211914,140.3276824951172,15.152170181274414,48.240516662597656,217.65859985351562,72.54077911376953,293.5430908203125,28.066131591796875,350.68731689453125,4.250999927520752,156.79344177246094,100.78612518310547
2022-03-25,119.66999816894531,164.77349853515625,34.599998474121094,658.344482421875,58.52469253540039,49.85411834716797,140.42779541015625,15.587627410888672,48.436771392822266,219.88900756835938,73.14070892333984,293.1377258300781,27.609495162963867,350.3947448730469,4.198999881744385,156.4388885498047,99.67476654052734
2022-03-28,120.23999786376953,168.99049377441406,34.84749984741211,665.4992065429688,58.89788055419922,49.40825653076172,140.2122039794922,15.445435523986816,48.13771057128906,221.64361572265625,73.08168029785156,299.9140625,28.13492202758789,355.816162109375,4.185999870300293,157.6540985107422,99.30122375488281
2022-03-29,123.2300033569336,169.31500244140625,35.20000076293945,679.205078125,59.69729995727539,50.072486877441406,141.2529754638672,15.605403900146484,48.82927322387695,227.85903930664062,74.90111541748047,304.4605407714844,28.57062530517578,361.9396667480469,4.248000144958496,161.2675323486328,102.02821350097656
2022-03-30,119.22000122070312,166.30099487304688,34.54750061035156,655.6626586914062,58.731292724609375,49.426448822021484,140.6909637451172,15.356568336486816,48.06295394897461,225.8665313720703,71.80317687988281,302.96435546875,27.60750389099121,357.94189453125,3.9579999446868896,156.11009216308594,99.67476654052734
2022-03-31,109.33999633789062,162.99749755859375,34.744998931884766,639.7348022460938,58.60007095336914,45.66851043701172,137.84521484375,14.850015640258789,46.31538391113281,220.42434692382812,70.52466583251953,297.60699462890625,27.20470428466797,353.5052795410156,3.806999921798706,152.55789184570312,97.3680648803711
2022-04-01,108.19000244140625,163.55999755859375,34.869998931884766,639.543212890625,58.34880828857422,44.40372848510742,138.91868591308594,14.476766586303711,44.96030807495117,222.8926544189453,69.89523315429688,298.678466796875,26.632413864135742,352.8324279785156,3.7920000553131104,149.60202026367188,95.9952392578125
